Week,Team,Opponent,Location,Stadium Type,First Downs,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Passing Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Interceptions,Total Sacks,Total Sack Yards,Total Fumbles,Total Fumbles Lost,Turnovers,Total Penalties,Total Penalty Yards,Total 3rd Down Attempts,Total 3rd Down Completions,3rd Down Conversion,Total 4th Down Attempts,Total 4th Down Completions,4th Down Conversion,Time of Possesion,Points,Opponent Points,Win/Loss
4,Saints,Falcons,Away,Indoor,25,33,131,3,28,36,239,0,1,1,4,1,1,2,6,60,13,7,0.5384615385,2,1,0.5,35.7,24,26,Loss
4,Falcons,Saints,Home,Indoor,14,15,88,0,21,35,238,0,1,1,11,1,0,1,9,76,11,4,0.3636363636,0,0,,24.3,26,24,Win
4,Bengals,Panthers,Away,Outdoor,24,31,141,2,22,31,232,2,1,0,0,0,0,1,5,39,13,7,0.5384615385,0,0,,29.0,34,24,Win
4,Panthers,Bengals,Home,Outdoor,24,29,155,1,25,41,220,2,1,0,0,0,0,1,6,37,14,7,0.5,3,1,0.3333333333,31.0,24,34,Loss
4,Rams,Bears,Away,Outdoor,21,26,119,1,20,29,224,0,1,3,21,1,1,2,6,44,11,5,0.4545454545,0,0,,31.0,18,24,Loss
4,Bears,Rams,Home,Outdoor,17,28,131,2,17,23,157,1,0,3,24,1,0,0,10,84,9,3,0.3333333333,0,0,,29.0,24,18,Win
4,Steelers,Colts,Away,Indoor,23,30,122,2,22,34,312,1,0,4,30,3,2,2,6,53,13,6,0.4615384615,2,0,0,31.1,24,27,Loss
4,Colts,Steelers,Home,Indoor,22,32,133,1,19,30,239,2,0,2,14,1,0,0,4,38,15,8,0.5333333333,0,0,,28.9,27,24,Win
4,Commanders,Cardinals,Away,Indoor,29,37,216,4,26,30,233,1,1,0,0,0,0,1,5,49,12,9,0.75,1,1,1,33.4,42,14,Win
4,Cardinals,Commanders,Home,Indoor,17,32,181,1,16,22,142,1,0,4,27,3,1,1,4,82,11,4,0.3636363636,3,2,0.6666666667,26.6,14,42,Loss
4,Vikings,Packers,Away,Outdoor,22,34,120,1,20,28,275,3,1,2,21,2,2,3,7,55,11,4,0.3636363636,1,0,0,32.3,31,29,Win
4,Packers,Vikings,Home,Outdoor,24,19,86,0,32,54,389,4,3,1,10,1,1,4,8,68,12,4,0.3333333333,2,0,0,27.8,29,31,Loss
4,Jaguars,Texans,Away,Indoor,17,24,158,0,18,33,169,2,0,1,14,1,0,0,6,45,12,4,0.3333333333,1,0,0,26.7,20,24,Loss
4,Texans,Jaguars,Home,Indoor,26,26,101,1,27,40,345,2,0,2,11,1,1,1,12,93,13,7,0.5384615385,0,0,,33.3,24,20,Win
4,Broncos,Jets,Away,Outdoor,12,31,126,0,12,25,60,1,0,0,0,1,1,1,5,74,14,3,0.2142857143,0,0,,28.3,10,9,Win
4,Jets,Broncos,Home,Outdoor,16,23,64,0,24,42,225,0,0,5,41,1,1,1,13,90,17,4,0.2352941176,1,0,0,31.7,9,10,Loss
4,Browns,Raiders,Away,Indoor,16,22,92,0,24,32,176,1,1,3,27,1,0,1,5,38,10,3,0.3,1,0,0,30.7,16,20,Loss
4,Raiders,Browns,Home,Indoor,17,29,152,2,14,24,130,0,0,2,14,1,1,1,6,49,12,4,0.3333333333,0,0,,29.3,20,16,Win
4,Bills,Ravens,Away,Outdoor,12,23,81,1,17,31,182,0,0,3,27,2,1,1,4,38,13,3,0.2307692308,1,1,1,29.0,10,35,Loss
4,Ravens,Bills,Home,Outdoor,22,34,271,2,14,19,157,2,0,1,1,2,1,1,8,79,9,5,0.5555555556,0,0,,31.1,35,10,Win
4,Chiefs,Chargers,Away,Indoor,16,26,101,1,19,29,245,1,1,3,17,1,1,2,5,40,16,9,0.5625,0,0,,29.1,17,10,Win
4,Chargers,Chiefs,Home,Indoor,12,24,55,0,16,27,179,1,0,2,10,2,0,0,9,51,13,4,0.3076923077,1,0,0,30.9,10,17,Loss
4,Patriots,49ers,Away,Outdoor,12,24,73,0,19,32,168,1,1,6,25,4,2,3,3,20,16,5,0.3125,3,1,0.3333333333,28.4,13,30,Loss
4,49ers,Patriots,Home,Outdoor,19,32,148,1,15,27,288,1,1,1,5,3,1,2,6,43,13,7,0.5384615385,0,0,,31.6,30,13,Win
4,Eagles,Buccaneers,Away,Outdoor,16,20,113,1,18,30,158,1,0,6,44,3,2,2,5,41,13,6,0.4615384615,2,1,0.5,23.7,16,33,Loss
4,Buccaneers,Eagles,Home,Outdoor,29,25,111,2,30,47,347,2,0,2,13,1,0,0,3,20,13,6,0.4615384615,1,1,1,36.3,33,16,Win
4,Seahawks,Lions,Away,Indoor,38,19,133,3,38,56,395,1,1,3,12,1,1,2,9,70,10,5,0.5,2,1,0.5,34.1,42,29,Win
4,Lions,Seahawks,Home,Indoor,21,28,116,3,19,19,299,3,0,3,26,0,0,0,12,101,6,3,0.5,0,0,,25.9,29,42,Loss
4,TItans,Dolphins,Away,Outdoor,16,40,142,2,12,21,110,0,1,1,8,0,0,1,8,69,12,2,0.1666666667,1,1,1,34.9,31,12,Win
4,Dolphins,TItans,Home,Outdoor,13,30,106,1,14,22,96,0,0,2,18,1,1,1,10,98,12,2,0.1666666667,3,1,0.3333333333,25.1,12,31,Loss
